# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	DELAY_180|EXT|TRAIL_1.0R	146429	0.3221	-30.6	-80	257.13	225	450	-0.1825	-0.48	1.213	132.29	287.5	0.0376	0.0128	381.326
E2	ALL	DELAY_180|EXT|TRAIL_1.5R	146429	0.3281	-27.47	-111.25	257.13	225	450	-0.1665	-0.6814	1.7	169.92	356.25	0.0627	0.0256	381.326
E2	ALL	DELAY_180|RECLAIM|PHASE	82533	0.1615	-35.71	-130	156.9	125	300	-0.3486	-1.2667	2.114	142.39	281.25	0.0733	0.041	214.93
E2	ALL	DELAY_180|RECLAIM|TRAIL_1.0R	82533	0.2752	-34.92	-67.5	156.9	125	300	-0.3504	-0.6727	1.149	83.61	187.5	0.0164	0.0056	214.93
E2	ALL	DELAY_180|RECLAIM|TRAIL_1.5R	82533	0.2852	-31.67	-86.25	156.9	125	300	-0.3378	-0.9588	1.7	107.42	237.5	0.032	0.0128	214.93
E2	ALL	DELAY_180|SWING|PHASE	164785	0.1045	-33.77	-105	86.57	75	150	-0.4891	-1.4889	0.412	87.44	156.25	0.0466	0.0265	429.128
E2	ALL	DELAY_180|SWING|TRAIL_1.0R	164785	0.2435	-33.7	-55	86.57	75	150	-0.5093	-0.85	1.12	47.93	100	0.0038	0.0008	429.128
E2	ALL	DELAY_180|SWING|TRAIL_1.5R	164785	0.2583	-33.12	-67.5	86.57	75	150	-0.4957	-1.12	1.65	61.18	125	0.0087	0.0022	429.128
E2	ALL	DELAY_300|EXT|PHASE	141130	0.2561	-29.13	-180	271.07	237.5	487.5	-0.1608	-1.1171	2.223	219.2	425	0.104	0.057	367.526
E2	ALL	DELAY_300|EXT|TRAIL_1.0R	141130	0.3242	-29.4	-80	271.07	237.5	487.5	-0.1741	-0.4621	1.213	137.79	300	0.0409	0.015	367.526
