# census 4 verdict — the stacked configurations (cell x filter x selection), one-position-per-asset replay, day-clustered CIs (PORT-M2-GOALPATH-V1)
era	cell	filter	selection	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	risk_usd_median	win_rate	mdd_mean	vs_D048_bar
E2	TREND_900|EXT|TRAIL_1.0R	SHUFFLED_DAYSIDE	ALL	384	6031	15.706	-416.24	-559.04	-267.64	-26.5	287.5	0.3462	1531.35	-0.208
E2	TREND_900|EXT|TRAIL_1.0R	SHUFFLED_DAYSIDE	MODEL_TOP3	384	736	1.917	7.73	-48.23	63.61	4.04	287.5	0.3777	250.62	0.004
E2	TREND_900|RECLAIM|TRAIL_1.0R	NONE	ALL	384	14951	38.935	-1237.97	-1430.47	-1043.48	-31.8	162.5	0.3037	2337.53	-0.619
E2	TREND_900|RECLAIM|TRAIL_1.0R	NONE	MODEL_TOP3	384	852	2.219	-71.61	-102.49	-36.57	-32.27	137.5	0.2934	202.4	-0.036
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_K	ALL	384	11434	29.776	-940.73	-1093.94	-778.76	-31.59	162.5	0.3055	1841.02	-0.47
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_K	MODEL_TOP3	384	854	2.224	-73.86	-101.45	-46.57	-33.21	137.5	0.3033	191.73	-0.037
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_2K	ALL	384	8289	21.586	-695.33	-794.31	-595.35	-32.21	150	0.2999	1347.04	-0.348
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_2K	MODEL_TOP3	384	841	2.19	-53.95	-81.37	-25.31	-24.63	137.5	0.3139	171.55	-0.027
E2	TREND_900|RECLAIM|TRAIL_1.0R	DAYSIDE	ALL	384	9855	25.664	-858.97	-999.29	-727.88	-33.47	143.75	0.2939	1632.47	-0.429
E2	TREND_900|RECLAIM|TRAIL_1.0R	DAYSIDE	MODEL_TOP3	384	829	2.159	-34.77	-78.04	8.63	-16.11	137.5	0.3064	190.5	-0.017
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	ALL	384	7017	18.273	-571.51	-676.32	-461.58	-31.28	150	0.2998	1201.61	-0.286
E2	TREND_900|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	MODEL_TOP3	384	854	2.224	-63.45	-94.87	-30	-28.53	131.25	0.3033	187.27	-0.032
E2	TREND_900|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	ALL	384	10039	26.143	-792.71	-955.31	-629.33	-30.32	175	0.3071	1792.39	-0.396
E2	TREND_900|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	MODEL_TOP3	384	956	2.49	-85.1	-125.86	-42.16	-34.18	150	0.2897	240.63	-0.043
E2	TREND_900|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	ALL	384	9730	25.339	-868.82	-1005.06	-734.41	-34.29	150	0.2931	1634.3	-0.434
E2	TREND_900|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	MODEL_TOP3	384	821	2.138	-54.02	-99.98	-8.84	-25.26	150	0.2777	213.36	-0.027
