# ROUND-2 SEALED BLIND LEDGER 20240501 (E6R2X-BLIND-D3) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
NKD-20240501-S-E45	NKD	11:34	S	SKIP	0.000	-	-	-
HG-20240501-L-E42	HG	11:36	L	SKIP	0.000	-	-	-
HG-20240501-S-E45	HG	11:38	S	SKIP	0.000	-	-	-
HG-20240501-L-E43	HG	11:46	L	SKIP	0.000	-	-	-
SI-20240501-L-E33	SI	11:47	L	SKIP	0.000	-	-	-
HG-20240501-S-E46	HG	11:53	S	SKIP	0.000	-	-	-
HG-20240501-L-E44	HG	11:59	L	SKIP	0.000	-	-	-
HG-20240501-S-E47	HG	12:02	S	SKIP	0.000	-	-	-
SI-20240501-S-E31	SI	12:03	S	SKIP	0.000	-	-	-
HG-20240501-S-E48	HG	12:06	S	SKIP	0.000	-	-	-
HG-20240501-L-E45	HG	12:08	L	SKIP	0.000	-	-	-
HG-20240501-L-E46	HG	12:10	L	SKIP	0.000	-	-	-
SI-20240501-L-E34	SI	12:13	L	SKIP	0.000	-	-	-
HG-20240501-L-E47	HG	12:31	L	SKIP	0.000	-	-	-
HG-20240501-S-E49	HG	12:34	S	SKIP	0.000	-	-	-
SI-20240501-S-E32	SI	12:35	S	SKIP	0.000	-	-	-
HG-20240501-S-E50	HG	12:38	S	SKIP	0.000	-	-	-
SI-20240501-S-E33	SI	12:38	S	SKIP	0.000	-	-	-
NKD-20240501-L-E43	NKD	12:39	L	SKIP	0.000	-	-	-
NKD-20240501-L-E44	NKD	12:42	L	SKIP	0.000	-	-	-
HG-20240501-L-E48	HG	12:42	L	SKIP	0.000	-	-	-
SI-20240501-L-E35	SI	12:50	L	SKIP	0.000	-	-	-
NKD-20240501-L-E45	NKD	12:50	L	SKIP	0.000	-	-	-
SI-20240501-L-E36	SI	12:53	L	SKIP	0.000	-	-	-
NKD-20240501-L-E46	NKD	12:59	L	SKIP	0.000	-	-	-
SI-20240501-S-E34	SI	13:01	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E51	HG	13:07	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E37	SI	13:08	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E52	HG	13:10	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E49	HG	13:15	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E53	HG	13:18	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E50	HG	13:19	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E38	SI	13:21	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E51	HG	13:26	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E39	SI	13:31	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E54	HG	13:35	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E55	HG	13:37	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E52	HG	13:41	L	SKIP	0.000	-	HELD	-
NKD-20240501-S-E46	NKD	13:44	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E35	SI	13:45	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E56	HG	13:47	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E36	SI	13:51	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E57	HG	13:52	S	SKIP	0.000	-	HELD	-
NKD-20240501-S-E47	NKD	13:52	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E53	HG	13:57	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E54	HG	14:02	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E40	SI	14:02	L	SKIP	0.000	-	HELD	-
NKD-20240501-L-E47	NKD	14:03	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E41	SI	14:06	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E55	HG	14:07	L	SKIP	0.000	-	HELD	-
SI-20240501-S-E37	SI	14:08	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E42	SI	14:09	L	SKIP	0.000	-	HELD	-
NKD-20240501-L-E48	NKD	14:12	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E58	HG	14:14	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E38	SI	14:17	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E56	HG	14:18	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E43	SI	14:19	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E59	HG	14:22	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E39	SI	14:22	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E44	SI	14:26	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E57	HG	14:26	L	SKIP	0.000	-	HELD	-
SI-20240501-S-E40	SI	14:30	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E45	SI	14:31	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E60	HG	14:31	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E58	HG	14:32	L	SKIP	0.000	-	HELD	-
NKD-20240501-S-E48	NKD	14:34	S	SKIP	0.000	-	HELD	-
NKD-20240501-L-E49	NKD	14:36	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E61	HG	14:37	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E59	HG	14:45	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E62	HG	14:46	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E60	HG	14:49	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E46	SI	14:50	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E63	HG	14:53	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E41	SI	14:53	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E64	HG	14:57	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E42	SI	14:57	S	SKIP	0.000	-	HELD	-
NKD-20240501-S-E49	NKD	14:59	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E61	HG	14:59	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E47	SI	15:02	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E62	HG	15:03	L	SKIP	0.000	-	HELD	-
SI-20240501-S-E43	SI	15:03	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E65	HG	15:03	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E63	HG	15:05	L	SKIP	0.000	-	HELD	-
SI-20240501-L-E48	SI	15:09	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E66	HG	15:11	S	SKIP	0.000	-	HELD	-
NKD-20240501-L-E50	NKD	15:12	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E67	HG	15:15	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E68	HG	15:19	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E49	SI	15:20	L	SKIP	0.000	-	HELD	-
HG-20240501-L-E64	HG	15:21	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E69	HG	15:24	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E70	HG	15:27	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E65	HG	15:29	L	SKIP	0.000	-	HELD	-
SI-20240501-S-E44	SI	15:30	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E50	SI	15:30	L	SKIP	0.000	-	HELD	-
NKD-20240501-S-E50	NKD	15:31	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E71	HG	15:31	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E72	HG	15:38	S	SKIP	0.000	-	HELD	-
NKD-20240501-S-E51	NKD	15:38	S	SKIP	0.000	-	HELD	-
SI-20240501-S-E45	SI	15:39	S	SKIP	0.000	-	HELD	-
HG-20240501-S-E73	HG	15:40	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E51	SI	15:41	L	SKIP	0.000	-	HELD	-
HG-20240501-S-E74	HG	15:45	S	SKIP	0.000	-	HELD	-
HG-20240501-L-E66	HG	15:46	L	SKIP	0.000	-	HELD	-
SI-20240501-S-E46	SI	15:47	S	SKIP	0.000	-	HELD	-
SI-20240501-L-E52	SI	15:49	L	SKIP	0.000	-	HELD	-
NKD-20240501-L-E51	NKD	15:52	L	SKIP	0.000	-	VETO	-
SI-20240501-S-E47	SI	15:53	S	SKIP	0.000	-	VETO	-
NKD-20240501-L-E52	NKD	15:55	L	SKIP	0.000	-	VETO	-
SI-20240501-L-E53	SI	15:56	L	SKIP	0.000	-	VETO	-
NKD-20240501-S-E52	NKD	15:58	S	SKIP	0.000	-	VETO	-
SI-20240501-S-E48	SI	16:00	S	SKIP	0.000	-	VETO	-
HG-20240501-S-E75	HG	16:00	S	SKIP	0.000	-	VETO	-
SI-20240501-L-E54	SI	16:01	L	SKIP	0.000	-	VETO	-
HG-20240501-L-E67	HG	16:01	L	SKIP	0.000	-	VETO	-
NKD-20240501-L-E53	NKD	16:01	L	SKIP	0.000	-	VETO	-
HG-20240501-L-E68	HG	16:05	L	SKIP	0.000	-	VETO	-
