# census 4 — the trend entries gated by the [conf, entry] post-window decidability block (m2_delay._post_path features, walk-forward GBT), $/trade by gate keep-fraction (PORT-M2-GOALPATH-V1)
cell	era	gate_keep_frac	n	usd_per_trade	win_rate	ungated_usd_per_trade
TREND_3600|RECLAIM|TRAIL_1.0R	E6	0.3	22950	6.26	0.3739	-16.36
TREND_3600|RECLAIM|TRAIL_1.0R	E6	0.5	38250	-2.5	0.3658	-16.36
TREND_3600|RECLAIM|TRAIL_1.0R	E6	1	76500	-16.36	0.355	-16.36
TREND_3600|SWING|TRAIL_1.0R	E3	0.05	3475	-14.89	0.3355	-29.65
TREND_3600|SWING|TRAIL_1.0R	E3	0.1	6951	-17.39	0.3248	-29.65
TREND_3600|SWING|TRAIL_1.0R	E3	0.2	13902	-18.16	0.3112	-29.65
TREND_3600|SWING|TRAIL_1.0R	E3	0.3	20853	-19.72	0.3027	-29.65
TREND_3600|SWING|TRAIL_1.0R	E3	0.5	34756	-21.63	0.2935	-29.65
TREND_3600|SWING|TRAIL_1.0R	E3	1	69513	-29.65	0.2792	-29.65
TREND_3600|SWING|TRAIL_1.0R	E4	0.05	3432	-45.7	0.3097	-26.09
TREND_3600|SWING|TRAIL_1.0R	E4	0.1	6864	-36.34	0.3161	-26.09
TREND_3600|SWING|TRAIL_1.0R	E4	0.2	13729	-31.47	0.3014	-26.09
TREND_3600|SWING|TRAIL_1.0R	E4	0.3	20594	-29.06	0.2968	-26.09
TREND_3600|SWING|TRAIL_1.0R	E4	0.5	34323	-25.67	0.2936	-26.09
TREND_3600|SWING|TRAIL_1.0R	E4	1	68647	-26.09	0.2888	-26.09
TREND_3600|SWING|TRAIL_1.0R	E5	0.05	3489	-26.49	0.3356	-28.93
TREND_3600|SWING|TRAIL_1.0R	E5	0.1	6978	-25.05	0.3249	-28.93
TREND_3600|SWING|TRAIL_1.0R	E5	0.2	13956	-20.6	0.3179	-28.93
TREND_3600|SWING|TRAIL_1.0R	E5	0.3	20934	-19.84	0.3112	-28.93
TREND_3600|SWING|TRAIL_1.0R	E5	0.5	34890	-20.39	0.3078	-28.93
TREND_3600|SWING|TRAIL_1.0R	E5	1	69780	-28.93	0.2856	-28.93
TREND_3600|SWING|TRAIL_1.0R	E6	0.05	3773	19.15	0.3586	-24.73
TREND_3600|SWING|TRAIL_1.0R	E6	0.1	7546	2.8	0.3431	-24.73
TREND_3600|SWING|TRAIL_1.0R	E6	0.2	15093	-8.09	0.3315	-24.73
TREND_3600|SWING|TRAIL_1.0R	E6	0.3	22639	-10.07	0.3258	-24.73
TREND_3600|SWING|TRAIL_1.0R	E6	0.5	37733	-14.44	0.318	-24.73
TREND_3600|SWING|TRAIL_1.0R	E6	1	75466	-24.73	0.2983	-24.73
