# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE DAY-ABSTENTION FRONTIER.  causal_top3_running: an (asset, day) qualifies the instant its RUNNING top-3 mean of arrived candidate scores crosses the gate — no day-end quantity is read anywhere
# preday_forecaster: the oracle-free variant — a walk-forward day-value model on the forecaster + overnight state as of the day's FIRST candidate second, no candidate score in it at all
era	gate	gate_pct	gate_value	n_sessions_qualified	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E6	causal_top3_running	q99.0	0.1733	27	top_0.05%	3	1	2	0.0000	.	.	-930.0000	.	.	0.0078	0.0385	-7.2656	-21.6430	7.1117	-930.0000	-35.7692	-109.4373	0.0000	0.0000	0.0385	0.0078	1	-2.4219	-930.0000	0.0000	1.0000	0.0000	-930.0000
E6	causal_top3_running	q99.0	0.1733	27	top_0.1%	6	1	5	0.0000	.	.	-155.0000	.	.	0.0078	0.0385	-1.2109	-3.6072	1.1853	-155.0000	-5.9615	-18.2396	0.0000	0.0000	0.0385	0.0078	1	-0.4036	-155.0000	368.7500	0.0000	0.0000	-155.0000
E6	causal_top3_running	q99.0	0.1733	27	top_0.2%	12	1	11	0.0000	.	.	-155.0000	.	.	0.0078	0.0385	-1.2109	-3.6072	1.1853	-155.0000	-5.9615	-18.2396	0.0000	0.0000	0.0385	0.0078	1	-0.4036	-155.0000	368.7500	0.0000	0.0000	-155.0000
E6	causal_top3_running	q99.0	0.1733	27	top_0.5%	30	1	29	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q99.0	0.1733	27	top_1%	60	4	56	0.0000	0.0000	0.0000	46.5625	-2434.8671	2527.9921	0.0312	0.1538	1.4551	-27.6230	30.5331	62.0833	7.1635	-144.1625	0.0000	0.0000	0.0769	0.0234	3	0.4850	46.5625	439.0625	0.5000	0.2500	186.2500
E6	causal_top3_running	q99.0	0.1733	27	top_2%	120	5	115	0.0000	0.0000	0.0000	-42.5000	-970.2712	885.2712	0.0391	0.1923	-1.6602	-15.1953	11.8749	-70.8333	-8.1731	-78.5580	0.0000	0.0000	0.0769	0.0234	3	-0.5534	-42.5000	415.0000	0.4000	0.2000	-212.5000
E6	causal_top3_running	q99.0	0.1733	27	top_5%	299	8	291	0.2500	0.0171	0.4829	228.5938	-1443.7681	1900.9556	0.0625	0.3077	14.2871	-30.7536	59.3278	609.5833	70.3365	-162.6658	0.0000	0.0000	0.0385	0.0234	3	4.7624	365.7500	663.2813	0.5000	0.3750	1828.7500
E6	causal_top3_running	q99.0	0.1733	27	top_100%	5987	66	5921	0.0606	-0.0040	0.1252	-250.6439	-517.4211	16.1332	0.5156	2.5385	-129.2383	-296.2600	37.7834	-919.0278	-636.2500	-1524.2306	-2640.6250	0.0000	0.2308	0.1406	18	-43.0794	-612.6852	589.9621	0.5455	0.1515	-16542.5000
E6	preday_forecaster	q0.0	-286.1100	384	top_0.05%	82	5	77	0.0000	0.0000	0.0000	-325.0000	-3086.8286	2436.8286	0.0391	0.1923	-12.6953	-62.6691	37.2785	-541.6667	-62.5000	-321.5923	0.0000	0.0000	0.0769	0.0234	3	-4.2318	-406.2500	313.7500	0.6000	0.2000	-1625.0000
E6	preday_forecaster	q0.0	-286.1100	384	top_0.1%	163	8	155	0.1250	-0.1831	0.4331	-262.8125	-1285.4113	759.7863	0.0625	0.3077	-16.4258	-54.4109	21.5593	-700.8333	-80.8654	-276.3260	0.0000	0.0000	0.0769	0.0234	3	-5.4753	-420.5000	491.4063	0.6250	0.2500	-2102.5000
E6	preday_forecaster	q0.0	-286.1100	384	top_0.2%	326	11	315	0.1818	0.0189	0.3448	-36.8182	-1286.3662	1212.7299	0.0859	0.4231	-3.1641	-44.3984	38.0703	-135.0000	-15.5769	-230.1220	0.0000	0.0000	0.0769	0.0234	3	-1.0547	-67.5000	588.6364	0.5455	0.2727	-405.0000
E6	preday_forecaster	q0.0	-286.1100	384	top_0.5%	815	23	792	0.0000	0.0000	0.0000	21.3587	-575.3680	618.0854	0.1797	0.8846	3.8379	-82.5647	90.2404	54.5833	18.8942	-521.5271	-930.0000	0.0000	0.1154	0.0703	9	1.2793	35.0893	604.0761	0.5652	0.2609	491.2500
E6	preday_forecaster	q0.0	-286.1100	384	top_1%	1631	46	1585	0.0435	-0.0262	0.1132	-319.9457	-584.9623	-54.9290	0.3594	1.7692	-114.9805	-233.7044	3.7435	-817.6389	-566.0577	-1251.6764	-1826.8750	0.0000	0.3462	0.1406	18	-38.3268	-545.0926	641.7120	0.6522	0.1304	-14717.5000
E6	preday_forecaster	q0.0	-286.1100	384	top_2%	3261	71	3190	0.1127	0.0342	0.1912	49.4014	-295.1217	393.9246	0.5547	2.7308	27.4023	-155.8271	210.6318	103.1618	134.9038	-663.6675	-1860.0000	0.0000	0.3846	0.2656	34	9.1341	74.6277	682.1303	0.5915	0.2535	3507.5000
E6	preday_forecaster	q0.0	-286.1100	384	top_5%	8153	196	7957	0.0765	0.0401	0.1130	-40.1403	-236.7017	156.4211	1.5312	7.5385	-61.4648	-364.4851	241.5554	-115.6985	-302.5962	-1797.4983	-3275.6250	-267.5000	0.5385	0.5312	68	-20.4883	-69.0132	606.8878	0.5816	0.2398	-7867.5000
E6	preday_forecaster	q0.0	-286.1100	384	top_100%	163062	1717	161345	0.0699	0.0565	0.0832	-7.9448	-63.2108	47.3211	13.4141	66.0385	-106.5723	-850.6945	637.5499	-106.5723	-524.6635	-4162.0149	-12908.1250	588.1250	0.4615	1.0000	128	-35.5241	-35.5241	492.4687	0.4828	0.2062	-13641.2500
E6	preday_forecaster	q50.0	-128.2900	194	top_0.05%	38	1	37	0.0000	.	.	-930.0000	.	.	0.0078	0.0385	-7.2656	-21.6430	7.1117	-930.0000	-35.7692	-109.4373	0.0000	0.0000	0.0385	0.0078	1	-2.4219	-930.0000	412.5000	1.0000	0.0000	-930.0000
