# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# max(2 x tick_$, 0.05 x ATR14_prev_$) / mult
# family levels displaced +0.5 x ATR14_prev_$ / mult, sign alternating by level index within the family (D-052 null)
# D-054/CC-M1-4: TWO_SIDED and spread_$ <= min(10 x trailing-phase-median spread_$, $500); trailing median = same-phase per-session medians over the 20 STRICTLY PRIOR sessions (>= 5 observations, else only the cap binds); insane seconds typed-excluded, never interpolated
# n_scored = extremes where the family declares a compatible-side level (capture/null denominator); n_extremes = ALL realized extremes of the target (marginal_pp denominator)
asset	family	target	era	n_scored	n_extremes	applicable_frac	n_hit	capture	n_hit_null	null_capture	lift	med_dist_usd	med_dist_atr	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover
SI	P3_OR60	REST_OF_WINDOW|SESSION	GATE_2025	516	516	1.000000	141	0.273256	76	0.147287	1.855263	818.750000	0.184814	39	2	0.003876	0.924419
SI	P3_OR60	REST_OF_WINDOW|TOKYO	2021	284	284	1.000000	154	0.542254	14	0.049296	11.000000	100.000000	0.041015	88	60	0.211268	0.690141
SI	P3_OR60	REST_OF_WINDOW|TOKYO	2022	516	516	1.000000	237	0.459302	30	0.058140	7.900000	156.250000	0.060251	35	24	0.046512	0.932171
SI	P3_OR60	REST_OF_WINDOW|TOKYO	2023	514	514	1.000000	254	0.494163	27	0.052529	9.407407	134.375000	0.054469	27	15	0.029183	0.947471
SI	P3_OR60	REST_OF_WINDOW|TOKYO	2024	518	518	1.000000	234	0.451737	55	0.106178	4.254545	206.250000	0.064087	25	17	0.032819	0.951737
SI	P3_OR60	REST_OF_WINDOW|TOKYO	FIT_2021_2024	1832	1832	1.000000	879	0.479803	126	0.068777	6.976190	150.000000	0.055385	175	116	0.063319	0.904476
SI	P3_OR60	REST_OF_WINDOW|TOKYO	GATE_2025	516	516	1.000000	225	0.436047	41	0.079457	5.487805	287.500000	0.065835	23	11	0.021318	0.955426
SI	P4_CAMARILLA	SESSION_HL	2021	284	284	1.000000	44	0.154930	16	0.056338	2.750000	375.312500	0.152887	61	7	0.024648	0.785211
SI	P4_CAMARILLA	SESSION_HL	2022	516	516	1.000000	83	0.160853	45	0.087209	1.844444	463.125000	0.173678	23	1	0.001938	0.955426
SI	P4_CAMARILLA	SESSION_HL	2023	514	514	1.000000	97	0.188716	44	0.085603	2.204545	391.250000	0.158760	41	1	0.001946	0.920233
SI	P4_CAMARILLA	SESSION_HL	2024	518	518	1.000000	99	0.191120	40	0.077220	2.475000	556.250000	0.162782	23	0	0.000000	0.955598
SI	P4_CAMARILLA	SESSION_HL	FIT_2021_2024	1832	1832	1.000000	323	0.176310	145	0.079148	2.227586	440.312500	0.162249	148	9	0.004913	0.919214
SI	P4_CAMARILLA	SESSION_HL	GATE_2025	516	516	1.000000	89	0.172481	35	0.067829	2.542857	719.531250	0.163084	38	2	0.003876	0.926357
SI	P4_FLOOR	SESSION_HL	2021	284	284	1.000000	49	0.172535	46	0.161972	1.065217	362.500000	0.147330	61	14	0.049296	0.785211
SI	P4_FLOOR	SESSION_HL	2022	516	516	1.000000	100	0.193798	71	0.137597	1.408451	397.916667	0.155282	23	3	0.005814	0.955426
SI	P4_FLOOR	SESSION_HL	2023	514	514	1.000000	77	0.149805	82	0.159533	0.939024	350.000000	0.146684	41	2	0.003891	0.920233
SI	P4_FLOOR	SESSION_HL	2024	518	518	1.000000	95	0.183398	90	0.173745	1.055556	493.750000	0.150775	23	4	0.007722	0.955598
SI	P4_FLOOR	SESSION_HL	FIT_2021_2024	1832	1832	1.000000	321	0.175218	289	0.157751	1.110727	400.000000	0.150179	148	23	0.012555	0.919214
SI	P4_FLOOR	SESSION_HL	GATE_2025	516	516	1.000000	71	0.137597	83	0.160853	0.855422	672.916667	0.168770	38	2	0.003876	0.926357
SI	P5_D00	PHASE_HL	2021	852	852	1.000000	162	0.190141	123	0.144366	1.317073	462.500000	0.192216	240	48	0.056338	0.718310
SI	P5_D00	PHASE_HL	2022	1548	1548	1.000000	242	0.156331	270	0.174419	0.896296	637.500000	0.241399	104	17	0.010982	0.932817
SI	P5_D00	PHASE_HL	2023	1542	1542	1.000000	260	0.168612	234	0.151751	1.111111	500.000000	0.209040	88	8	0.005188	0.942931
SI	P5_D00	PHASE_HL	2024	1554	1554	1.000000	260	0.167310	239	0.153797	1.087866	650.000000	0.198193	86	12	0.007722	0.944659
SI	P5_D00	PHASE_HL	FIT_2021_2024	5496	5496	1.000000	924	0.168122	866	0.157569	1.066975	575.000000	0.210029	518	85	0.015466	0.905750
SI	P5_D00	PHASE_HL	GATE_2025	1548	1548	1.000000	237	0.153101	241	0.155685	0.983402	1050.000000	0.252674	100	10	0.006460	0.935401
SI	P5_D00	SESSION_HL	2021	284	284	1.000000	55	0.193662	40	0.140845	1.375000	512.500000	0.208958	61	10	0.035211	0.785211
SI	P5_D00	SESSION_HL	2022	516	516	1.000000	74	0.143411	84	0.162791	0.880952	712.500000	0.258028	23	3	0.005814	0.955426
SI	P5_D00	SESSION_HL	2023	514	514	1.000000	64	0.124514	70	0.136187	0.914286	631.250000	0.263026	41	1	0.001946	0.920233
SI	P5_D00	SESSION_HL	2024	518	518	1.000000	89	0.171815	79	0.152510	1.126582	737.500000	0.223876	23	2	0.003861	0.955598
SI	P5_D00	SESSION_HL	FIT_2021_2024	1832	1832	1.000000	282	0.153930	273	0.149017	1.032967	650.000000	0.242926	148	16	0.008734	0.919214
SI	P5_D00	SESSION_HL	GATE_2025	516	516	1.000000	64	0.124031	79	0.153101	0.810127	1150.000000	0.273792	38	2	0.003876	0.926357
SI	P5_D25	PHASE_HL	2021	852	852	1.000000	131	0.153756	141	0.165493	0.929078	525.000000	0.214720	240	34	0.039906	0.718310
SI	P5_D25	PHASE_HL	2022	1548	1548	1.000000	223	0.144057	257	0.166021	0.867704	700.000000	0.262347	104	11	0.007106	0.932817
SI	P5_D25	PHASE_HL	2023	1542	1542	1.000000	260	0.168612	250	0.162127	1.040000	550.000000	0.227277	88	6	0.003891	0.942931
SI	P5_D25	PHASE_HL	2024	1554	1554	1.000000	278	0.178893	223	0.143501	1.246637	687.500000	0.215779	86	8	0.005148	0.944659
SI	P5_D25	PHASE_HL	FIT_2021_2024	5496	5496	1.000000	892	0.162300	871	0.158479	1.024110	612.500000	0.232472	518	59	0.010735	0.905750
SI	P5_D25	PHASE_HL	GATE_2025	1548	1548	1.000000	228	0.147287	250	0.161499	0.912000	1137.500000	0.268828	100	7	0.004522	0.935401
SI	P5_D25	SESSION_HL	2021	284	284	1.000000	51	0.179577	39	0.137324	1.307692	487.500000	0.205137	61	10	0.035211	0.785211
SI	P5_D25	SESSION_HL	2022	516	516	1.000000	75	0.145349	85	0.164729	0.882353	700.000000	0.259964	23	0	0.000000	0.955426
SI	P5_D25	SESSION_HL	2023	514	514	1.000000	77	0.149805	97	0.188716	0.793814	600.000000	0.255289	41	1	0.001946	0.920233
SI	P5_D25	SESSION_HL	2024	518	518	1.000000	92	0.177606	76	0.146718	1.210526	700.000000	0.219709	23	3	0.005792	0.955598
SI	P5_D25	SESSION_HL	FIT_2021_2024	1832	1832	1.000000	295	0.161026	297	0.162118	0.993266	625.000000	0.242318	148	14	0.007642	0.919214
SI	P5_D25	SESSION_HL	GATE_2025	516	516	1.000000	78	0.151163	91	0.176357	0.857143	1150.000000	0.277413	38	1	0.001938	0.926357
SI	P5_D50	PHASE_HL	2021	852	852	1.000000	119	0.139671	152	0.178404	0.782895	756.250000	0.307054	240	24	0.028169	0.718310
SI	P5_D50	PHASE_HL	2022	1548	1548	1.000000	210	0.135659	292	0.188630	0.719178	818.750000	0.313461	104	8	0.005168	0.932817
